lastName	yearOfBirth	yearOfDeath	fullName	job	location	yearPostingStart	yearPostingEnd	notes
ALCOCK	1809	1897	ALCOCK, SIR RUTHERFORD, K.C.B.	Minister	Japan	1858	1865	
ALCOCK	1809	1897	ALCOCK, SIR RUTHERFORD, K.C.B.	Minister	China	1865	1871	
ALDERTON	1967		ALDERTON, CLIVE, L.V.O.	Consul-General	Lille	2004	2006	
ALDERTON	1967		ALDERTON, CLIVE, L.V.O.	Ambassador	Morocco	2012	2015	
ALDINGTON	1907		ALDINGTON, SIR GEOFFREY W., K.B.E., C.M.G.	Head of Information Services Department	Foreign Office	1947	1950	
ALDINGTON	1907		ALDINGTON, SIR GEOFFREY W., K.B.E., C.M.G.	Political Adviser	Hong Kong	1950	1953	
ALDINGTON	1907		ALDINGTON, SIR GEOFFREY W., K.B.E., C.M.G.	Consul-General	Zagreb	1954	1956	
ALDINGTON	1907		ALDINGTON, SIR GEOFFREY W., K.B.E., C.M.G.	Consul-General	Philadelphia	1956	1961	
ALDINGTON	1907		ALDINGTON, SIR GEOFFREY W., K.B.E., C.M.G.	Ambassador	Luxemburg	1961	1966	
ALESSANDRI	1965		ALESSANDRI, MADELEINE K., C.M.G.	Counsellor (Political), Embassy	Japan	2004	2007	
ALEXANDER	1936	2002	ALEXANDER, SIR MICHAEL O’D. B., G.C.M.G.	Counsellor and Head of Chancery, U.K. Delegation to the United Nations Organizations, Geneva		1975	1977	
ALEXANDER	1936	2002	ALEXANDER, SIR MICHAEL O’D. B., G.C.M.G.	Head of Personnel Operations Department	Foreign and Commonwealth Office	1978	1979	
ALEXANDER	1936	2002	ALEXANDER, SIR MICHAEL O’D. B., G.C.M.G.	Private Secretary (Foreign Affairs)	Prime Minister	1979	1981	
ALEXANDER	1936	2002	ALEXANDER, SIR MICHAEL O’D. B., G.C.M.G.	Ambassador to Austria, 1982-1986, and Head of U.K. Delegation to Negotiations on Mutual and Balanced Force And Armaments Reductions in Europe		1985	1986	
ALEXANDER	1936	2002	ALEXANDER, SIR MICHAEL O’D. B., G.C.M.G.	Permanent Representative	N.A.T.O.	1986	1992	
ALEXANDER			ALEXANDER, NICHOLAS	Counsellor and Deputy Head of Mission	Neherlands	2011	2015	
ALEXANDER	1940	2012	ALEXANDER, THOMAS J.	Counsellor and Head of Chancery, Embassy	Sudan	1982	1983	
